sample_n,time_s,trial_n,baseline,target_temp,raw_temperature,smoothed_temperature,phase,transitioned,event,system_state,test_state,test_time_ms
1,0.000402,1,30.0,46.0,33.16,33.16,baseline,0,,2,1,129
2,0.201685,1,30.0,46.0,35.0,34.08,baseline,0,,2,1,323
3,0.405421,1,30.0,46.0,35.0,34.3867,baseline,0,,2,1,572
4,0.605413,1,30.0,46.0,35.0,34.54,ramp_up,1,ramp_up,2,1,755
5,0.801701,1,30.0,46.0,35.0,34.632,ramp_up,0,,2,1,956
6,1.005513,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,1136
7,1.202098,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,1369
8,1.403837,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,1550
9,1.601683,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,1717
10,1.805419,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,1915
11,2.005419,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,2164
12,2.205417,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,2331
13,2.401687,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,2565
14,2.601717,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,2733
15,2.805429,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,2930
16,3.005417,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,3113
17,3.205414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,3346
18,3.405413,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,3528
19,3.605412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,3746
20,3.805447,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,3927
21,4.001729,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,4126
22,4.205421,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,4358
23,4.40541,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,4543
24,4.601683,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,4725
25,4.805447,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,4960
26,5.005411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,5142
27,5.201669,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,5326
28,5.401663,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,5557
29,5.600651,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,5756
30,5.805424,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,5923
31,6.001661,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,6172
32,6.205439,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,6339
33,6.405538,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,6522
34,6.601664,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,6740
35,6.805414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,6933
36,7.001655,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,7130
37,7.205411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,7312
38,7.405415,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,7560
39,7.603413,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,7741
40,7.805411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,7924
41,8.005423,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,8141
42,8.205414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,8323
43,8.405385,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,8556
44,8.601648,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,8740
45,8.801655,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,8923
46,9.00543,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,9157
47,9.204167,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,9339
48,9.401744,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,9557
49,9.605412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,9739
50,9.801676,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,9922
51,10.00164,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,10139
52,10.205426,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,10372
53,10.401296,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,10524
54,10.605414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,10754
55,10.801109,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,10922
56,11.001654,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,11123
57,11.201666,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,11370
58,11.401678,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,11503
59,11.60165,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,11736
60,11.801664,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,11967
61,12.004801,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,12167
62,12.205411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,12365
63,12.405445,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,12553
64,12.605425,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,12735
65,12.801663,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,12954
66,13.005421,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,13152
67,13.205439,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,13352
68,13.404809,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,13519
69,13.605484,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,13735
70,13.805411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,13953
71,14.001884,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,14121
72,14.201658,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,14354
73,14.405418,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,14522
74,14.60316,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,14771
75,14.80541,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,14955
76,15.00544,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,15139
77,15.205421,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,15358
78,15.405414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,15556
79,15.605437,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,15756
80,15.805431,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,15939
81,16.005438,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,16139
82,16.201649,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,16322
83,16.405411,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,16539
84,16.601634,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,16722
85,16.801645,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,16971
86,17.005378,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,17153
87,17.201632,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,17336
88,17.401088,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,17519
89,17.602017,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,17752
90,17.805418,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,17921
91,18.005418,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,18155
92,18.205414,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,18339
93,18.402277,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,18539
94,18.60544,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,18755
95,18.801721,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,18955
96,19.005416,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19122
97,19.201632,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19305
98,19.405418,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19523
99,19.601616,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19756
100,19.801626,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,19955
101,20.005417,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20171
102,20.201619,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20370
103,20.405423,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20551
104,20.605488,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20768
105,20.801709,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,20937
106,21.005449,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21153
107,21.205412,1,30.0,46.0,35.0,35.0,ramp_up,0,,2,1,21354
